Hora,X,Y,Diereccion
06:00:00,21.967978,-102.341371,2
06:02:00,21.967978,-102.341371,2
06:04:00,21.967978,-102.341371,2
06:06:00,21.967978,-102.341371,2
06:08:00,21.967978,-102.341371,2
06:10:00,21.967978,-102.341371,2
06:12:00,21.967978,-102.341371,2
06:14:00,21.967978,-102.341371,2
06:16:00,21.967978,-102.341371,2
06:18:00,21.967978,-102.341371,2
06:20:00,21.967978,-102.341371,2
06:22:00,21.967978,-102.341371,2
06:24:00,21.967978,-102.341371,2
06:26:00,21.967978,-102.341371,2
06:28:00,21.967978,-102.341371,2
06:30:00,21.967978,-102.341371,2
06:32:00,21.967978,-102.341371,2
06:34:00,21.967978,-102.341371,2
06:36:00,21.967978,-102.341371,2
06:38:00,21.967978,-102.341371,2
06:40:00,21.967978,-102.341371,2
06:42:00,21.967978,-102.341371,2
06:44:00,21.967978,-102.341371,2
06:46:00,21.967978,-102.341371,2
06:48:00,21.967978,-102.341371,2
06:50:00,21.967978,-102.341371,2
06:52:00,21.967978,-102.341371,2
06:54:00,21.967978,-102.341371,2
06:56:00,21.967978,-102.341371,2
06:58:00,21.967978,-102.341371,2
07:00:00,21.967978,-102.341371,2
07:02:00,21.967978,-102.341371,2
07:04:00,21.967978,-102.341371,2
07:06:00,21.967978,-102.341371,2
07:08:00,21.967978,-102.341371,2
07:10:00,21.967978,-102.341371,2
07:12:00,21.967978,-102.341371,2
07:14:00,21.967978,-102.341371,2
07:16:00,21.967978,-102.341371,2
07:18:00,21.967978,-102.341371,2
07:20:00,21.967978,-102.341371,2
07:22:00,21.967978,-102.341371,2
07:24:00,21.967978,-102.341371,2
07:26:00,21.967978,-102.341371,2
07:28:00,21.967978,-102.341371,2
07:30:00,21.967978,-102.341371,2
07:32:00,21.967978,-102.341371,2
07:34:00,21.967978,-102.341371,2
07:36:00,21.967978,-102.341371,2
07:38:00,21.967978,-102.341371,2
07:40:00,21.967978,-102.341371,2
07:42:00,21.967978,-102.341371,2
07:44:00,21.967978,-102.341371,2
07:46:00,21.967978,-102.341371,2
07:48:00,21.967978,-102.341371,2
07:50:00,21.967978,-102.341371,2
07:52:00,21.967978,-102.341371,2
07:54:00,21.967978,-102.341371,2
07:56:00,21.967978,-102.341371,2
07:58:00,21.967978,-102.341371,2
08:00:00,21.967978,-102.341371,2
08:02:00,21.967978,-102.341371,2
08:04:00,21.967978,-102.341371,2
08:06:00,21.967978,-102.341371,2
08:08:00,21.967978,-102.341371,2
08:10:00,21.967978,-102.341371,2
08:12:00,21.967978,-102.341371,2
08:14:00,21.967978,-102.341371,2
08:16:00,21.967978,-102.341371,2
08:18:00,21.967978,-102.341371,2
08:20:00,21.967978,-102.341371,2
08:22:00,21.967978,-102.341371,2
08:24:00,21.967978,-102.341371,2
08:26:00,21.967978,-102.341371,2
08:28:00,21.967978,-102.341371,2
08:30:00,21.967978,-102.341371,2
08:32:00,21.967978,-102.341371,2
08:34:00,21.967978,-102.341371,2
08:36:00,21.967978,-102.341371,2
08:38:00,21.967978,-102.341371,2
08:40:00,21.967978,-102.341371,2
08:42:00,21.967978,-102.341371,2
08:44:00,21.967978,-102.341371,2
08:46:00,21.967978,-102.341371,2
08:48:00,21.967978,-102.341371,2
08:50:00,21.967978,-102.341371,2
08:52:00,21.967978,-102.341371,2
08:54:00,21.967978,-102.341371,2
08:56:00,21.967978,-102.341371,2
08:58:00,21.967978,-102.341371,2
09:00:00,21.967978,-102.341371,2
09:02:00,21.967978,-102.341371,2
09:04:00,21.967978,-102.341371,2
09:06:00,21.967978,-102.341371,2
09:08:00,21.967978,-102.341371,2
09:10:00,21.967978,-102.341371,2
09:12:00,21.967978,-102.341371,2
09:14:00,21.967978,-102.341371,2
09:16:00,21.967978,-102.341371,2
09:18:00,21.967978,-102.341371,2
09:20:00,21.967978,-102.341371,2
09:22:00,21.967978,-102.341371,2
09:24:00,21.967978,-102.341371,2
09:26:00,21.967978,-102.341371,2
09:28:00,21.967978,-102.341371,2
09:30:00,21.967978,-102.341371,2
09:32:00,21.967978,-102.341371,2
09:34:00,21.967978,-102.341371,2
09:36:00,21.967978,-102.341371,2
09:38:00,21.967978,-102.341371,2
09:40:00,21.967978,-102.341371,2
09:42:00,21.967978,-102.341371,2
09:44:00,21.967978,-102.341371,2
09:46:00,21.967978,-102.341371,2
09:48:00,21.967978,-102.341371,2
09:50:00,21.967978,-102.341371,2
09:52:00,21.967978,-102.341371,2
09:54:00,21.967978,-102.341371,2
09:56:00,21.967978,-102.341371,2
